Net,li1,met1,met2,met3,met4,met5,
power_derate_pct[1],100.00%,100.00%,100.00%,100.00%,NA,NA,
power_derate_pct[2],100.00%,100.00%,100.00%,100.00%,NA,NA,
power_derate_pct[3],100.00%,100.00%,100.00%,100.00%,NA,NA,
zero_,60.29%,98.72%,100.00%,99.77%,100.00%,NA,
power_derate_pct[5],100.00%,100.00%,100.00%,100.00%,NA,NA,
power_derate_pct[6],100.00%,100.00%,100.00%,100.00%,NA,NA,
net4958,100.00%,100.00%,100.00%,NA,NA,NA,
net4948,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4947,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
prdata[12],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4946,100.00%,100.00%,100.00%,NA,NA,NA,
net4945,100.00%,100.00%,98.27%,94.50%,100.00%,NA,
prdata[15],100.00%,100.00%,100.00%,99.82%,100.00%,NA,
net4944,100.00%,100.00%,100.00%,NA,NA,NA,
net4943,77.45%,89.03%,90.26%,98.10%,100.00%,NA,
net4942,100.00%,100.00%,88.25%,100.00%,100.00%,NA,
prdata[19],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4957,100.00%,64.28%,100.00%,NA,NA,NA,
prdata[20],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4941,66.67%,90.27%,100.00%,100.00%,100.00%,NA,
prdata[22],50.00%,84.66%,100.00%,100.00%,100.00%,NA,
prdata[23],100.00%,100.00%,38.86%,99.99%,100.00%,NA,
net4940,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4939,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
net4938,100.00%,100.00%,100.00%,NA,NA,NA,
net4937,100.00%,100.00%,100.00%,NA,NA,NA,
net4936,100.00%,100.00%,100.00%,NA,NA,NA,
prdata[29],100.00%,100.00%,64.57%,92.25%,100.00%,NA,
net4956,100.00%,100.00%,100.00%,NA,NA,NA,
net4935,100.00%,100.00%,100.00%,NA,NA,NA,
prdata[31],100.00%,99.99%,100.00%,100.00%,100.00%,NA,
net8560,100.00%,100.00%,89.68%,100.00%,100.00%,NA,
net4954,100.00%,100.00%,97.26%,0.00%,NA,NA,
net4953,100.00%,100.00%,100.00%,NA,NA,NA,
net4952,93.14%,98.60%,100.00%,100.00%,100.00%,NA,
net8559,100.00%,100.00%,NA,NA,NA,NA,
net4950,100.00%,99.86%,99.98%,NA,NA,NA,
net4949,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
_00040_,100.00%,100.00%,100.00%,NA,NA,NA,
_00041_,100.00%,100.00%,100.00%,NA,NA,NA,
_00042_,100.00%,100.00%,100.00%,NA,NA,NA,
_00043_,100.00%,100.00%,100.00%,NA,NA,NA,
_00044_,100.00%,100.00%,100.00%,NA,NA,NA,
one_,100.00%,82.89%,96.25%,99.14%,99.91%,100.00%,
psel,100.00%,100.00%,93.85%,100.00%,100.00%,NA,
net4510,100.00%,100.00%,69.33%,NA,NA,NA,
pwdata[0],100.00%,100.00%,99.72%,96.26%,100.00%,NA,
pwdata[10],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[11],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[12],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[13],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[14],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[15],100.00%,99.33%,99.83%,100.00%,100.00%,NA,
pwdata[16],100.00%,100.00%,77.99%,50.84%,60.16%,NA,
pwdata[17],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[18],100.00%,100.00%,100.00%,100.00%,89.96%,NA,
pwdata[19],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[1],100.00%,100.00%,99.74%,96.04%,100.00%,NA,
pwdata[20],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[21],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
pwdata[22],100.00%,100.00%,100.00%,100.00%,100.00%,NA,
