Net,li1,met1,met2,met3,met4,met5,
_13845_,100.00%,100.00%,100.00%,NA,NA,NA,
_13846_,100.00%,100.00%,0.00%,NA,NA,NA,
_13847_,100.00%,100.00%,100.00%,NA,NA,NA,
_13848_,100.00%,100.00%,0.00%,NA,NA,NA,
_13849_,100.00%,100.00%,100.00%,NA,NA,NA,
_13850_,50.00%,100.00%,100.00%,NA,NA,NA,
_13851_,100.00%,100.00%,0.00%,NA,NA,NA,
_13852_,100.00%,100.00%,100.00%,NA,NA,NA,
_13853_,100.00%,100.00%,NA,NA,NA,NA,
_13854_,100.00%,96.66%,0.00%,NA,NA,NA,
_13855_,100.00%,100.00%,100.00%,NA,NA,NA,
_13856_,100.00%,100.00%,100.00%,NA,NA,NA,
_13857_,100.00%,99.63%,0.00%,NA,NA,NA,
_13858_,100.00%,63.37%,68.14%,NA,NA,NA,
_13859_,100.00%,100.00%,89.73%,NA,NA,NA,
_13860_,100.00%,100.00%,100.00%,NA,NA,NA,
_13861_,100.00%,100.00%,0.00%,NA,NA,NA,
_13862_,50.00%,100.00%,100.00%,NA,NA,NA,
_13863_,100.00%,100.00%,100.00%,NA,NA,NA,
_13864_,100.00%,100.00%,100.00%,NA,NA,NA,
_13865_,100.00%,100.00%,0.00%,NA,NA,NA,
_13866_,100.00%,100.00%,100.00%,NA,NA,NA,
_13867_,100.00%,100.00%,100.00%,NA,NA,NA,
_13868_,100.00%,100.00%,100.00%,NA,NA,NA,
_13869_,96.00%,92.70%,95.19%,NA,NA,NA,
_13870_,100.00%,100.00%,100.00%,NA,NA,NA,
_13871_,80.00%,95.97%,100.00%,NA,NA,NA,
_13872_,100.00%,100.00%,0.00%,NA,NA,NA,
_13873_,100.00%,100.00%,NA,NA,NA,NA,
_13874_,100.00%,100.00%,0.00%,NA,NA,NA,
_13875_,100.00%,100.00%,100.00%,NA,NA,NA,
_13876_,100.00%,100.00%,0.00%,0.00%,NA,NA,
_13877_,100.00%,100.00%,0.00%,0.00%,NA,NA,
_13878_,100.00%,100.00%,0.00%,NA,NA,NA,
_13879_,100.00%,100.00%,0.00%,NA,NA,NA,
_13880_,100.00%,100.00%,NA,NA,NA,NA,
_13881_,100.00%,100.00%,0.00%,NA,NA,NA,
_13882_,100.00%,100.00%,0.00%,NA,NA,NA,
_13883_,50.00%,69.15%,0.00%,NA,NA,NA,
_13884_,100.00%,100.00%,100.00%,NA,NA,NA,
_13885_,100.00%,100.00%,0.00%,NA,NA,NA,
_13886_,100.00%,100.00%,100.00%,NA,NA,NA,
_13887_,100.00%,100.00%,NA,NA,NA,NA,
_13888_,100.00%,100.00%,0.00%,NA,NA,NA,
_13889_,100.00%,100.00%,100.00%,NA,NA,NA,
_13890_,100.00%,100.00%,100.00%,NA,NA,NA,
_13891_,100.00%,100.00%,100.00%,NA,NA,NA,
_13892_,100.00%,100.00%,100.00%,NA,NA,NA,
_13893_,100.00%,100.00%,0.00%,NA,NA,NA,
_13894_,100.00%,100.00%,NA,NA,NA,NA,
_13895_,100.00%,100.00%,100.00%,NA,NA,NA,
_13896_,100.00%,100.00%,0.00%,NA,NA,NA,
_13897_,100.00%,100.00%,0.00%,NA,NA,NA,
_13898_,100.00%,76.63%,0.00%,NA,NA,NA,
_13899_,100.00%,100.00%,100.00%,NA,NA,NA,
_13900_,100.00%,100.00%,0.00%,NA,NA,NA,
_13901_,100.00%,100.00%,100.00%,NA,NA,NA,
_13902_,100.00%,100.00%,100.00%,NA,NA,NA,
_13903_,100.00%,100.00%,100.00%,NA,NA,NA,
_13904_,100.00%,100.00%,NA,NA,NA,NA,
_13905_,100.00%,100.00%,100.00%,NA,NA,NA,
_13906_,100.00%,100.00%,100.00%,NA,NA,NA,
_13907_,100.00%,100.00%,100.00%,NA,NA,NA,
_13908_,100.00%,100.00%,100.00%,NA,NA,NA,
_13909_,89.22%,89.22%,100.00%,NA,NA,NA,
_13910_,100.00%,100.00%,100.00%,NA,NA,NA,
_13911_,100.00%,100.00%,100.00%,NA,NA,NA,
_13912_,97.06%,95.87%,100.00%,NA,NA,NA,
_13913_,100.00%,100.00%,100.00%,NA,NA,NA,
_13914_,100.00%,100.00%,0.00%,NA,NA,NA,
_13915_,100.00%,100.00%,100.00%,NA,NA,NA,
_13916_,100.00%,100.00%,100.00%,NA,NA,NA,
_13917_,100.00%,100.00%,100.00%,NA,NA,NA,
_13918_,100.00%,100.00%,100.00%,NA,NA,NA,
_13919_,100.00%,100.00%,100.00%,0.00%,NA,NA,
_13920_,100.00%,100.00%,38.06%,NA,NA,NA,
_13921_,100.00%,100.00%,100.00%,NA,NA,NA,
_13922_,100.00%,100.00%,100.00%,NA,NA,NA,
_13923_,100.00%,100.00%,0.00%,NA,NA,NA,
_13924_,100.00%,100.00%,0.00%,NA,NA,NA,
_13925_,100.00%,100.00%,74.28%,NA,NA,NA,
_13926_,100.00%,100.00%,0.00%,NA,NA,NA,
_13927_,75.00%,100.00%,85.35%,NA,NA,NA,
_13928_,100.00%,100.00%,0.00%,NA,NA,NA,
_13929_,75.00%,97.59%,65.93%,NA,NA,NA,
_13930_,75.00%,97.29%,94.68%,NA,NA,NA,
_13931_,66.67%,100.00%,100.00%,NA,NA,NA,
_13932_,100.00%,100.00%,0.00%,NA,NA,NA,
_13933_,100.00%,100.00%,100.00%,NA,NA,NA,
_13934_,100.00%,100.00%,0.00%,NA,NA,NA,
_13935_,100.00%,100.00%,0.00%,NA,NA,NA,
_13936_,100.00%,100.00%,53.02%,0.00%,NA,NA,
_13937_,100.00%,100.00%,100.00%,NA,NA,NA,
_13938_,100.00%,100.00%,100.00%,NA,NA,NA,
_13939_,100.00%,100.00%,100.00%,NA,NA,NA,
_13940_,100.00%,100.00%,NA,NA,NA,NA,
_13941_,100.00%,100.00%,NA,NA,NA,NA,
_13942_,100.00%,100.00%,0.00%,NA,NA,NA,
_13943_,100.00%,100.00%,100.00%,NA,NA,NA,
_13944_,100.00%,100.00%,100.00%,NA,NA,NA,
_13945_,100.00%,98.00%,64.49%,0.00%,NA,NA,
_13946_,100.00%,100.00%,NA,NA,NA,NA,
_13947_,100.00%,100.00%,0.00%,NA,NA,NA,
_13948_,100.00%,100.00%,64.76%,NA,NA,NA,
_13949_,100.00%,100.00%,100.00%,NA,NA,NA,
_13950_,100.00%,100.00%,0.00%,NA,NA,NA,
_13951_,100.00%,100.00%,100.00%,NA,NA,NA,
_13952_,100.00%,100.00%,0.00%,NA,NA,NA,
_13953_,100.00%,100.00%,0.00%,NA,NA,NA,
_13954_,100.00%,100.00%,0.00%,NA,NA,NA,
_13955_,100.00%,100.00%,0.00%,NA,NA,NA,
_13956_,100.00%,100.00%,100.00%,NA,NA,NA,
_13957_,100.00%,100.00%,66.48%,NA,NA,NA,
_13958_,100.00%,100.00%,100.00%,NA,NA,NA,
_13959_,100.00%,100.00%,100.00%,NA,NA,NA,
_13960_,100.00%,100.00%,100.00%,NA,NA,NA,
_13961_,100.00%,100.00%,0.00%,NA,NA,NA,
_13962_,100.00%,100.00%,0.00%,NA,NA,NA,
_13963_,100.00%,100.00%,100.00%,NA,NA,NA,
_13964_,100.00%,100.00%,0.00%,0.00%,NA,NA,
_13965_,100.00%,100.00%,0.00%,NA,NA,NA,
_13966_,50.00%,73.93%,0.00%,NA,NA,NA,
_13967_,66.67%,100.00%,100.00%,NA,NA,NA,
_13968_,100.00%,100.00%,100.00%,NA,NA,NA,
_13969_,100.00%,100.00%,100.00%,NA,NA,NA,
_13970_,100.00%,100.00%,0.00%,0.00%,NA,NA,
_13971_,100.00%,100.00%,0.00%,NA,NA,NA,
_13972_,100.00%,100.00%,0.00%,NA,NA,NA,
_13973_,100.00%,100.00%,0.00%,NA,NA,NA,
_13974_,100.00%,100.00%,100.00%,NA,NA,NA,
_13975_,100.00%,100.00%,NA,NA,NA,NA,
_13976_,83.82%,91.70%,NA,NA,NA,NA,
_13977_,100.00%,100.00%,0.00%,NA,NA,NA,
_13978_,83.82%,80.77%,0.00%,NA,NA,NA,
_13979_,100.00%,100.00%,100.00%,NA,NA,NA,
_13980_,100.00%,100.00%,100.00%,NA,NA,NA,
_13981_,100.00%,100.00%,0.00%,NA,NA,NA,
_13982_,100.00%,100.00%,100.00%,NA,NA,NA,
_13983_,100.00%,100.00%,100.00%,NA,NA,NA,
_13984_,100.00%,100.00%,0.00%,NA,NA,NA,
_13985_,100.00%,100.00%,64.00%,0.00%,NA,NA,
_13986_,100.00%,56.18%,100.00%,NA,NA,NA,
_13987_,100.00%,100.00%,100.00%,NA,NA,NA,
_13988_,100.00%,100.00%,100.00%,NA,NA,NA,
_13989_,100.00%,100.00%,0.00%,NA,NA,NA,
_13990_,100.00%,100.00%,0.00%,NA,NA,NA,
_13991_,75.00%,93.85%,0.00%,NA,NA,NA,
_13992_,100.00%,100.00%,NA,NA,NA,NA,
_13993_,100.00%,100.00%,0.00%,NA,NA,NA,
_13994_,100.00%,100.00%,100.00%,NA,NA,NA,
_13995_,100.00%,100.00%,100.00%,NA,NA,NA,
_13996_,100.00%,100.00%,86.02%,NA,NA,NA,
_13997_,100.00%,100.00%,100.00%,NA,NA,NA,
_13998_,100.00%,100.00%,79.22%,NA,NA,NA,
_13999_,100.00%,100.00%,100.00%,NA,NA,NA,
_14000_,100.00%,100.00%,100.00%,0.00%,NA,NA,
_14001_,100.00%,100.00%,NA,NA,NA,NA,
_14002_,100.00%,100.00%,100.00%,NA,NA,NA,
_14003_,100.00%,100.00%,100.00%,NA,NA,NA,
_14004_,100.00%,100.00%,0.00%,NA,NA,NA,
_14005_,100.00%,100.00%,88.17%,NA,NA,NA,
_14006_,100.00%,100.00%,NA,NA,NA,NA,
_14007_,50.00%,82.46%,100.00%,NA,NA,NA,
_14008_,100.00%,100.00%,100.00%,NA,NA,NA,
_14009_,100.00%,100.00%,100.00%,NA,NA,NA,
_14010_,100.00%,100.00%,0.00%,NA,NA,NA,
_14011_,100.00%,100.00%,100.00%,NA,NA,NA,
_14012_,100.00%,100.00%,100.00%,NA,NA,NA,
_14013_,100.00%,100.00%,0.00%,NA,NA,NA,
_14014_,100.00%,100.00%,100.00%,NA,NA,NA,
_14015_,100.00%,100.00%,100.00%,NA,NA,NA,
_14016_,100.00%,100.00%,0.00%,NA,NA,NA,
_14017_,100.00%,99.47%,79.82%,0.00%,NA,NA,
_14018_,100.00%,80.24%,100.00%,NA,NA,NA,
_14019_,100.00%,100.00%,100.00%,NA,NA,NA,
_14020_,100.00%,100.00%,NA,NA,NA,NA,
_14021_,100.00%,100.00%,0.00%,NA,NA,NA,
_14022_,100.00%,100.00%,43.79%,0.00%,NA,NA,
_14023_,100.00%,100.00%,0.00%,NA,NA,NA,
_14024_,100.00%,100.00%,97.71%,0.00%,NA,NA,
_14025_,100.00%,100.00%,NA,NA,NA,NA,
_14026_,100.00%,100.00%,92.23%,0.00%,NA,NA,
_14027_,100.00%,92.59%,87.42%,0.00%,NA,NA,
_14028_,100.00%,100.00%,100.00%,NA,NA,NA,
_14029_,100.00%,100.00%,100.00%,NA,NA,NA,
_14030_,100.00%,100.00%,100.00%,NA,NA,NA,
_14031_,100.00%,100.00%,100.00%,NA,NA,NA,
_14032_,100.00%,100.00%,100.00%,NA,NA,NA,
_14033_,100.00%,100.00%,100.00%,NA,NA,NA,
_14034_,100.00%,100.00%,100.00%,NA,NA,NA,
_14035_,100.00%,100.00%,100.00%,NA,NA,NA,
_14036_,100.00%,100.00%,NA,NA,NA,NA,
_14037_,100.00%,97.92%,0.00%,NA,NA,NA,
_14038_,100.00%,100.00%,100.00%,NA,NA,NA,
_14039_,100.00%,100.00%,100.00%,NA,NA,NA,
_14040_,100.00%,97.90%,98.90%,NA,NA,NA,
_14041_,100.00%,100.00%,0.00%,NA,NA,NA,
_14042_,80.00%,100.00%,100.00%,NA,NA,NA,
_14043_,100.00%,100.00%,0.00%,NA,NA,NA,
_14044_,100.00%,100.00%,100.00%,NA,NA,NA,
_14045_,100.00%,100.00%,100.00%,NA,NA,NA,
_14046_,100.00%,100.00%,0.00%,NA,NA,NA,
_14047_,100.00%,100.00%,0.00%,NA,NA,NA,
_14048_,100.00%,100.00%,100.00%,NA,NA,NA,
_14049_,100.00%,100.00%,100.00%,NA,NA,NA,
_14050_,100.00%,100.00%,0.00%,NA,NA,NA,
_14051_,100.00%,100.00%,100.00%,NA,NA,NA,
_14052_,100.00%,100.00%,0.00%,NA,NA,NA,
_14053_,100.00%,100.00%,100.00%,NA,NA,NA,
_14054_,100.00%,100.00%,0.00%,NA,NA,NA,
_14055_,75.00%,91.05%,100.00%,NA,NA,NA,
_14056_,100.00%,100.00%,100.00%,NA,NA,NA,
_14057_,100.00%,100.00%,0.00%,NA,NA,NA,
_14058_,100.00%,100.00%,100.00%,NA,NA,NA,
_14059_,100.00%,100.00%,100.00%,NA,NA,NA,
_14060_,100.00%,100.00%,100.00%,NA,NA,NA,
_14061_,100.00%,100.00%,100.00%,NA,NA,NA,
_14062_,100.00%,100.00%,100.00%,NA,NA,NA,
_14063_,100.00%,100.00%,100.00%,NA,NA,NA,
_14064_,100.00%,100.00%,100.00%,NA,NA,NA,
_14065_,100.00%,100.00%,0.00%,NA,NA,NA,
_14066_,100.00%,100.00%,100.00%,NA,NA,NA,
_14067_,100.00%,100.00%,100.00%,NA,NA,NA,
_14068_,100.00%,100.00%,NA,NA,NA,NA,
_14069_,100.00%,100.00%,100.00%,NA,NA,NA,
_14070_,100.00%,100.00%,0.00%,NA,NA,NA,
_14071_,100.00%,100.00%,100.00%,NA,NA,NA,
_14072_,100.00%,100.00%,63.41%,NA,NA,NA,
_14073_,100.00%,98.49%,67.28%,NA,NA,NA,
_14074_,100.00%,100.00%,100.00%,NA,NA,NA,
_14075_,100.00%,100.00%,100.00%,NA,NA,NA,
_14076_,100.00%,100.00%,100.00%,NA,NA,NA,
_14077_,100.00%,100.00%,NA,NA,NA,NA,
_14078_,100.00%,100.00%,100.00%,NA,NA,NA,
_14079_,100.00%,100.00%,100.00%,NA,NA,NA,
_14080_,100.00%,100.00%,100.00%,NA,NA,NA,
_14081_,100.00%,100.00%,0.00%,NA,NA,NA,
_14082_,100.00%,94.77%,0.00%,NA,NA,NA,
_14083_,100.00%,100.00%,100.00%,NA,NA,NA,
_14084_,100.00%,100.00%,0.00%,NA,NA,NA,
_14085_,100.00%,100.00%,0.00%,NA,NA,NA,
_14086_,100.00%,99.41%,NA,NA,NA,NA,
_14087_,100.00%,100.00%,100.00%,NA,NA,NA,
_14088_,100.00%,100.00%,100.00%,NA,NA,NA,
_14089_,100.00%,100.00%,0.00%,NA,NA,NA,
_14090_,100.00%,100.00%,NA,NA,NA,NA,
_14091_,100.00%,100.00%,57.97%,NA,NA,NA,
_14092_,100.00%,100.00%,NA,NA,NA,NA,
_14093_,100.00%,100.00%,0.00%,NA,NA,NA,
_14094_,100.00%,100.00%,0.00%,NA,NA,NA,
_14095_,100.00%,100.00%,100.00%,NA,NA,NA,
_14096_,100.00%,100.00%,0.00%,NA,NA,NA,
_14097_,100.00%,100.00%,0.00%,NA,NA,NA,
_14098_,100.00%,100.00%,100.00%,NA,NA,NA,
_14099_,100.00%,100.00%,100.00%,NA,NA,NA,
_14100_,100.00%,100.00%,100.00%,NA,NA,NA,
_14101_,100.00%,100.00%,100.00%,NA,NA,NA,
_14102_,100.00%,100.00%,100.00%,NA,NA,NA,
_14103_,100.00%,100.00%,100.00%,NA,NA,NA,
_14104_,100.00%,100.00%,100.00%,NA,NA,NA,
_14105_,100.00%,100.00%,NA,NA,NA,NA,
_14106_,100.00%,100.00%,0.00%,NA,NA,NA,
_14107_,75.00%,100.00%,34.80%,0.00%,NA,NA,
_14108_,100.00%,100.00%,100.00%,NA,NA,NA,
_14109_,50.00%,69.15%,100.00%,NA,NA,NA,
_14110_,100.00%,78.28%,62.79%,0.00%,NA,NA,
_14111_,100.00%,100.00%,NA,NA,NA,NA,
_14112_,100.00%,100.00%,100.00%,NA,NA,NA,
_14113_,100.00%,100.00%,100.00%,NA,NA,NA,
_14114_,100.00%,100.00%,100.00%,NA,NA,NA,
_14115_,100.00%,100.00%,100.00%,NA,NA,NA,
_14116_,100.00%,100.00%,100.00%,NA,NA,NA,
_14117_,100.00%,100.00%,98.37%,89.90%,NA,NA,
_14118_,100.00%,100.00%,0.00%,NA,NA,NA,
_14119_,100.00%,100.00%,100.00%,NA,NA,NA,
_14120_,100.00%,100.00%,67.06%,NA,NA,NA,
_14121_,100.00%,100.00%,NA,NA,NA,NA,
_14122_,100.00%,100.00%,100.00%,NA,NA,NA,
_14123_,100.00%,100.00%,NA,NA,NA,NA,
_14124_,100.00%,100.00%,0.00%,NA,NA,NA,
_14125_,100.00%,100.00%,100.00%,NA,NA,NA,
_14126_,100.00%,100.00%,NA,NA,NA,NA,
_14127_,100.00%,100.00%,100.00%,NA,NA,NA,
_14128_,100.00%,100.00%,0.00%,NA,NA,NA,
_14129_,100.00%,100.00%,100.00%,NA,NA,NA,
_14130_,66.67%,100.00%,100.00%,NA,NA,NA,
_14131_,100.00%,100.00%,NA,NA,NA,NA,
_14132_,100.00%,100.00%,100.00%,NA,NA,NA,
_14133_,100.00%,100.00%,100.00%,NA,NA,NA,
_14134_,100.00%,100.00%,100.00%,NA,NA,NA,
_14135_,100.00%,100.00%,100.00%,NA,NA,NA,
_14136_,100.00%,100.00%,100.00%,NA,NA,NA,
_14137_,100.00%,100.00%,67.85%,0.00%,NA,NA,
_14138_,100.00%,77.50%,91.51%,0.00%,NA,NA,
_14139_,100.00%,100.00%,60.79%,0.00%,NA,NA,
_14140_,100.00%,100.00%,93.17%,NA,NA,NA,
_14141_,100.00%,97.15%,74.97%,NA,NA,NA,
_14142_,100.00%,100.00%,100.00%,NA,NA,NA,
_14143_,100.00%,100.00%,100.00%,NA,NA,NA,
_14144_,100.00%,100.00%,100.00%,NA,NA,NA,
_14145_,100.00%,100.00%,100.00%,NA,NA,NA,
_14146_,100.00%,100.00%,60.47%,NA,NA,NA,
_14147_,90.88%,98.69%,80.02%,56.30%,NA,NA,
_14148_,100.00%,97.39%,97.77%,0.00%,NA,NA,
_14149_,93.53%,99.26%,99.81%,NA,NA,NA,
_14150_,100.00%,100.00%,79.78%,NA,NA,NA,
_14151_,100.00%,100.00%,85.74%,NA,NA,NA,
_14152_,100.00%,78.06%,100.00%,NA,NA,NA,
_14153_,100.00%,100.00%,100.00%,NA,NA,NA,
_14154_,100.00%,93.24%,0.00%,0.00%,NA,NA,
_14155_,100.00%,100.00%,100.00%,NA,NA,NA,
_14156_,100.00%,100.00%,100.00%,NA,NA,NA,
_14157_,100.00%,100.00%,100.00%,NA,NA,NA,
_14158_,100.00%,100.00%,0.00%,NA,NA,NA,
_14159_,100.00%,100.00%,63.85%,NA,NA,NA,
_14160_,50.00%,84.66%,0.00%,NA,NA,NA,
_14161_,100.00%,76.59%,90.16%,100.00%,NA,NA,
_14162_,100.00%,100.00%,100.00%,NA,NA,NA,
_14163_,100.00%,99.66%,97.04%,NA,NA,NA,
_14164_,100.00%,100.00%,100.00%,NA,NA,NA,
_14165_,100.00%,100.00%,100.00%,NA,NA,NA,
_14166_,100.00%,100.00%,100.00%,NA,NA,NA,
_14167_,75.00%,97.55%,100.00%,NA,NA,NA,
_14168_,100.00%,100.00%,0.00%,NA,NA,NA,
_14169_,100.00%,100.00%,100.00%,NA,NA,NA,
_14170_,100.00%,100.00%,100.00%,NA,NA,NA,
_14171_,100.00%,100.00%,100.00%,NA,NA,NA,
_14172_,100.00%,100.00%,100.00%,NA,NA,NA,
_14173_,100.00%,100.00%,51.26%,NA,NA,NA,
_14174_,100.00%,100.00%,91.85%,NA,NA,NA,
_14175_,100.00%,100.00%,85.31%,NA,NA,NA,
_14176_,100.00%,100.00%,92.15%,100.00%,NA,NA,
_14177_,100.00%,100.00%,NA,NA,NA,NA,
_14178_,100.00%,100.00%,100.00%,NA,NA,NA,
_14179_,100.00%,100.00%,100.00%,NA,NA,NA,
_14180_,100.00%,100.00%,0.00%,NA,NA,NA,
_14181_,100.00%,100.00%,100.00%,NA,NA,NA,
_14182_,100.00%,100.00%,100.00%,NA,NA,NA,
_14183_,100.00%,100.00%,98.17%,NA,NA,NA,
_14184_,97.43%,82.07%,93.48%,NA,NA,NA,
_14185_,100.00%,100.00%,100.00%,NA,NA,NA,
_14186_,100.00%,100.00%,100.00%,NA,NA,NA,
_14187_,100.00%,100.00%,55.60%,0.00%,NA,NA,
_14188_,100.00%,100.00%,100.00%,NA,NA,NA,
_14189_,100.00%,99.63%,90.04%,NA,NA,NA,
_14190_,100.00%,99.13%,91.62%,NA,NA,NA,
_14191_,100.00%,100.00%,100.00%,NA,NA,NA,
_14192_,100.00%,100.00%,99.18%,NA,NA,NA,
_14193_,100.00%,100.00%,100.00%,NA,NA,NA,
_14194_,89.71%,100.00%,100.00%,NA,NA,NA,
_14195_,100.00%,93.48%,85.27%,NA,NA,NA,
_14196_,100.00%,100.00%,95.09%,NA,NA,NA,
_14197_,100.00%,100.00%,NA,NA,NA,NA,
_14198_,100.00%,91.13%,57.43%,0.00%,NA,NA,
_14199_,100.00%,100.00%,100.00%,NA,NA,NA,
_14200_,100.00%,100.00%,0.00%,NA,NA,NA,
_14201_,100.00%,80.52%,0.00%,0.00%,NA,NA,
_14202_,100.00%,100.00%,100.00%,NA,NA,NA,
_14203_,100.00%,100.00%,0.00%,NA,NA,NA,
_14204_,100.00%,100.00%,0.00%,NA,NA,NA,
_14205_,100.00%,100.00%,0.00%,NA,NA,NA,
_14206_,100.00%,100.00%,52.67%,NA,NA,NA,
_14207_,100.00%,100.00%,68.33%,NA,NA,NA,
_14208_,100.00%,100.00%,0.00%,NA,NA,NA,
_14209_,100.00%,100.00%,100.00%,NA,NA,NA,
_14210_,100.00%,100.00%,0.00%,NA,NA,NA,
_14211_,100.00%,89.91%,67.87%,NA,NA,NA,
_14212_,100.00%,100.00%,100.00%,NA,NA,NA,
_14213_,100.00%,74.20%,0.00%,NA,NA,NA,
_14214_,100.00%,100.00%,100.00%,NA,NA,NA,
_14215_,100.00%,100.00%,100.00%,NA,NA,NA,
_14216_,50.00%,92.75%,84.92%,NA,NA,NA,
_14217_,50.00%,100.00%,NA,NA,NA,NA,
_14218_,100.00%,100.00%,0.00%,NA,NA,NA,
_14219_,100.00%,100.00%,100.00%,NA,NA,NA,
_14220_,50.00%,68.44%,100.00%,NA,NA,NA,
_14221_,100.00%,93.90%,88.12%,NA,NA,NA,
_14222_,100.00%,100.00%,63.83%,NA,NA,NA,
_14223_,97.71%,98.51%,96.16%,NA,NA,NA,
_14224_,100.00%,62.89%,71.22%,NA,NA,NA,
_14225_,100.00%,100.00%,94.68%,NA,NA,NA,
_14226_,100.00%,100.00%,71.07%,0.00%,NA,NA,
_14227_,100.00%,100.00%,100.00%,NA,NA,NA,
_14228_,100.00%,100.00%,100.00%,NA,NA,NA,
_14229_,100.00%,100.00%,92.17%,85.77%,NA,NA,
_14230_,100.00%,100.00%,100.00%,NA,NA,NA,
_14231_,100.00%,100.00%,0.00%,NA,NA,NA,
_14232_,100.00%,100.00%,NA,NA,NA,NA,
_14233_,100.00%,100.00%,100.00%,0.00%,0.00%,NA,
_14234_,100.00%,100.00%,100.00%,100.00%,NA,NA,
_14235_,100.00%,100.00%,0.00%,NA,NA,NA,
_14236_,100.00%,100.00%,100.00%,NA,NA,NA,
_14237_,100.00%,100.00%,0.00%,NA,NA,NA,
_14238_,100.00%,100.00%,100.00%,NA,NA,NA,
_14239_,100.00%,100.00%,97.58%,94.37%,NA,NA,
_14240_,100.00%,95.90%,80.48%,0.00%,NA,NA,
_14241_,100.00%,100.00%,0.00%,NA,NA,NA,
_14242_,50.00%,97.93%,87.68%,NA,NA,NA,
_14243_,100.00%,100.00%,100.00%,NA,NA,NA,
_14244_,100.00%,95.30%,62.57%,0.00%,NA,NA,
_14245_,100.00%,100.00%,NA,NA,NA,NA,
_14246_,100.00%,100.00%,100.00%,NA,NA,NA,
_14247_,100.00%,100.00%,75.88%,NA,NA,NA,
_14248_,100.00%,100.00%,89.92%,NA,NA,NA,
_14249_,100.00%,100.00%,NA,NA,NA,NA,
_14250_,100.00%,100.00%,100.00%,NA,NA,NA,
_14251_,100.00%,100.00%,55.48%,NA,NA,NA,
_14252_,100.00%,65.62%,100.00%,NA,NA,NA,
_14253_,100.00%,100.00%,0.00%,NA,NA,NA,
_14254_,100.00%,100.00%,0.00%,NA,NA,NA,
_14255_,100.00%,100.00%,0.00%,NA,NA,NA,
_14256_,100.00%,100.00%,100.00%,NA,NA,NA,
_14257_,100.00%,100.00%,100.00%,NA,NA,NA,
_14258_,100.00%,100.00%,0.00%,NA,NA,NA,
_14259_,100.00%,100.00%,NA,NA,NA,NA,
_14260_,100.00%,100.00%,44.10%,NA,NA,NA,
_14261_,100.00%,100.00%,21.58%,0.00%,NA,NA,
_14262_,100.00%,100.00%,0.00%,NA,NA,NA,
_14263_,100.00%,100.00%,0.00%,NA,NA,NA,
_14264_,100.00%,100.00%,100.00%,NA,NA,NA,
_14265_,100.00%,100.00%,0.00%,0.00%,NA,NA,
_14266_,100.00%,100.00%,100.00%,NA,NA,NA,
_14267_,100.00%,100.00%,0.00%,NA,NA,NA,
_14268_,100.00%,100.00%,100.00%,NA,NA,NA,
_14269_,100.00%,100.00%,100.00%,NA,NA,NA,
_14270_,100.00%,86.34%,100.00%,NA,NA,NA,
_14271_,100.00%,100.00%,100.00%,NA,NA,NA,
_14272_,100.00%,100.00%,0.00%,NA,NA,NA,
_14273_,100.00%,100.00%,0.00%,NA,NA,NA,
_14274_,100.00%,100.00%,0.00%,NA,NA,NA,
_14275_,100.00%,100.00%,100.00%,NA,NA,NA,
_14276_,100.00%,100.00%,0.00%,NA,NA,NA,
_14277_,100.00%,100.00%,NA,NA,NA,NA,
_14278_,100.00%,100.00%,100.00%,NA,NA,NA,
_14279_,100.00%,100.00%,91.28%,NA,NA,NA,
_14280_,100.00%,100.00%,100.00%,NA,NA,NA,
_14281_,50.00%,50.00%,0.00%,NA,NA,NA,
_14282_,100.00%,100.00%,0.00%,NA,NA,NA,
_14283_,100.00%,100.00%,0.00%,NA,NA,NA,
_14284_,100.00%,100.00%,0.00%,NA,NA,NA,
_14285_,100.00%,100.00%,100.00%,NA,NA,NA,
_14286_,100.00%,100.00%,100.00%,NA,NA,NA,
_14287_,100.00%,100.00%,NA,NA,NA,NA,
_14288_,100.00%,100.00%,0.00%,NA,NA,NA,
_14289_,100.00%,100.00%,NA,NA,NA,NA,
_14290_,100.00%,100.00%,100.00%,NA,NA,NA,
_14291_,95.59%,89.90%,100.00%,NA,NA,NA,
_14292_,50.00%,85.60%,0.00%,NA,NA,NA,
_14293_,100.00%,59.26%,0.00%,NA,NA,NA,
_14294_,100.00%,100.00%,0.00%,NA,NA,NA,
_14295_,100.00%,100.00%,0.00%,NA,NA,NA,
_14296_,100.00%,100.00%,0.00%,NA,NA,NA,
_14297_,100.00%,100.00%,0.00%,NA,NA,NA,
_14298_,100.00%,100.00%,NA,NA,NA,NA,
_14299_,100.00%,100.00%,100.00%,NA,NA,NA,
_14300_,100.00%,100.00%,NA,NA,NA,NA,
_14301_,100.00%,100.00%,100.00%,NA,NA,NA,
_14302_,100.00%,100.00%,0.00%,NA,NA,NA,
_14303_,100.00%,100.00%,100.00%,NA,NA,NA,
_14304_,100.00%,100.00%,100.00%,NA,NA,NA,
_14305_,100.00%,100.00%,0.00%,NA,NA,NA,
_14306_,100.00%,100.00%,NA,NA,NA,NA,
_14307_,100.00%,100.00%,100.00%,100.00%,100.00%,NA,
_14308_,100.00%,99.85%,100.00%,NA,NA,NA,
_14309_,89.71%,86.15%,0.00%,NA,NA,NA,
_14310_,100.00%,100.00%,0.00%,NA,NA,NA,
